id,title,overview,popularity,adult,vote_count,vote_average,original_language,release_date,poster_path
552524,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,733.0556,False,331,7.127,en,2025-05-17,/3bN675X0K2E5QiAZVChzB5wq90B.jpg
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",469.6691,False,1549,6.505,en,2025-03-31,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
574475,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",364.4598,False,502,7.035,en,2025-05-14,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
1232546,Until Dawn,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",296.7954,False,498,6.464,en,2025-04-23,/juA4IWO52Fecx8lhAsxmDgy3M3.jpg
1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",298.6536,False,1063,6.7,en,2025-03-26,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg
1257960,Sikandar,A tragic accident pushes the powerful Sikandar to protect the less fortunate by standing up to corruption and greed — using any means necessary.,343.2584,False,27,4.889,hi,2025-03-29,/t48miSSfe7COqgbgMyRIyPVTBoM.jpg
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",286.3732,False,468,7.103,en,2025-05-17,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
1098006,Fountain of Youth,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",209.1583,False,324,6.441,en,2025-05-19,/4iWjGghUj2uyHo2Hyw8NFBvsNGm.jpg
1001414,Fear Street: Prom Queen,"Who will be voted queen at Shadyside High's 1988 prom? For underdog Lori, competition is cutthroat even before someone starts killing off the candidates.",205.7904,False,216,5.4,en,2025-05-23,/gevScWYkF8l5i9NjFSXo8HfPNyy.jpg
896536,The Legend of Ochi,"In a remote village on the island of Carpathia, a shy farm girl named Yuri is raised to fear an elusive animal species known as ochi. But when Yuri discovers a wounded baby ochi has been left behind, she escapes on a quest to bring him home.",164.4786,False,95,6.232,en,2025-04-18,/wVujUVvY4qvKARAslItQ4ARKqtz.jpg
1241436,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",185.2449,False,460,7.307,en,2025-04-09,/srj9rYrjefyWqkLc6l2xjTGeBGO.jpg
447273,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",167.2624,False,982,4.292,en,2025-03-12,/oLxWocqheC8XbXbxqJ3x422j9PW.jpg
1297028,Rosario,"Wall Street stockbroker Rosario Fuentes returns to her grandmother's apartment after her sudden death. While sorting through her belongings, Rosario discovers a hidden chamber that's filled with occult artifacts tied to dark generational rituals. As supernatural occurrences begin to plague her, she must confront her family's buried secrets and face the truth about the sacrifices and choices they made.",156.1525,False,25,4.68,en,2025-05-01,/h91QHXPCb96x2J5mahqyW8QZay2.jpg
11544,Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",173.6648,False,6545,7.546,en,2002-06-21,/m13Vbzv7R2GMAl3GXFrkmMEgCFQ.jpg
977294,Tin Soldier,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",146.5636,False,43,4.953,en,2025-05-22,/lFFDrFLXywFhy6khHes1LCFVMsL.jpg
1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",187.3789,False,869,7.512,en,2025-04-16,/Alhlf01RGavrTwQIByWW37T7WeY.jpg
822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",150.9058,False,1988,6.086,en,2025-02-12,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg
1480799,The Great Escape,,127.9018,False,3,5.7,pt,2023-05-26,/h7shL668vhC2wsZQSBWzxkMuZ8K.jpg
986056,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",127.6032,False,1035,7.43,en,2025-04-30,/m9EtP1Yrzv6v7dMaC9mRaGhd1um.jpg
1233069,Exterritorial,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",125.9771,False,417,6.731,de,2025-04-29,/jM2uqCZNKbiyStyzXOERpMqAbdx.jpg
1448938,Abduct,"A woman's peaceful mountain getaway takes a bizarre turn when her boyfriend disappears, and a random naked man shows up claiming to be him.",126.3511,False,8,4.6,en,2025-04-02,/2ZTp5eQ8C8W70rvXCkbdHQW0sM9.jpg
897160,Brave Citizen,"An expelled boxing champion, who now is a high-school teacher, witnesses intolerable violence and throws her first punch to build justice against it, while putting on a mask.",119.9985,False,43,6.8,ko,2023-10-25,/zR9j2auEEQIaBbi7uTIFtDChmmA.jpg
324544,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",117.3511,False,398,6.4,en,2025-02-27,/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg
1144430,Last Bullet,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,112.4993,False,151,6.715,fr,2025-05-06,/qycPITRqXgPai7zj1gKffjCdSB5.jpg
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",113.5659,False,2413,7.08,en,2024-11-21,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg
1094473,Bambi: A Life in the Woods,"The life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father, and the experience he gains about the dangers posed by human hunters in the forest.",104.3908,False,23,5.9,fr,2024-10-16,/vWNVHtwOhcoOEUSrY1iHRGbgH8O.jpg
676685,Panda Bear in Africa,"A young adventurous panda travels from China to Africa to rescue his best friend, Jielong the Dragon, who has been kidnapped. On his journey, he discovers a strange amazing new world of mountains, deserts and jungles.",123.8575,False,34,6.265,nl,2024-03-15,/wxpu7svVqA0ALYpofQBPujGelN3.jpg
668489,Havoc,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",101.4836,False,743,6.518,en,2025-04-25,/ubP2OsF3GlfqYPvXyLw9d78djGX.jpg
1403735,Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",101.9832,False,3,5.0,te,2025-02-14,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
1011477,Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",95.6126,False,56,7.277,en,2025-05-08,/AEgggzRr1vZCLY86MAp93li43z.jpg
1225915,Jewel Thief - The Heist Begins,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",105.4012,False,53,6.538,hi,2025-04-24,/eujLbO0kf1eqWC8XpHUJdtAVW2J.jpg
710258,Rust,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",86.8252,False,55,6.3,en,2025-05-01,/tbJ3RkA2s6X5qrBzrYHYTxvDBui.jpg
